index,Open,High,Low,Close,Volume,Adj Close
2019-10-28,0.565,0.74,0.5451,0.7163,3890373.29,
2019-11-04,0.7162,0.7911,0.6266,0.6904,4990988.89,
2019-11-11,0.6904,0.8086,0.6385,0.7258,4657733.81,
2019-11-18,0.73,0.7301,0.43,0.4443,5119877.56,
2019-11-25,0.4442,0.65,0.41,0.527,5081491.22,
2019-12-02,0.5282,0.5751,0.4853,0.5577,2579409.43,
2019-12-09,0.5578,0.633,0.5044,0.6097,5802650.97,
2019-12-16,0.6096,0.6149,0.4916,0.5731,4470405.1,
2019-12-23,0.5731,0.5891,0.5168,0.5515,2389978.45,
2019-12-30,0.5514,0.6361,0.5,0.5798,3934917.12,
2020-01-06,0.5814,0.629,0.5181,0.545,5721129.74,
2020-01-13,0.5449,0.6894,0.5206,0.586,9445454.26,
2020-01-20,0.5874,0.6345,0.5558,0.6149,2823728.88,
2020-01-27,0.6149,0.8227,0.611,0.7676,6361958.93,
2020-02-03,0.7667,0.8462,0.6952,0.8293,7200643.82,
2020-02-10,0.8304,1.025,0.65,0.7522,9299180.35,
2020-02-17,0.7485,0.7918,0.6698,0.7286,3562267.13,
2020-02-24,0.726,0.7342,0.535,0.5778,4744707.91,
2020-03-02,0.5809,0.6498,0.4536,0.4943,3541715.13,
2020-03-09,0.4933,0.5525,0.1306,0.2496,10007893.28,
2020-03-16,0.2485,0.3179,0.1953,0.2441,7383943.54,
2020-03-23,0.2426,0.3582,0.24,0.2454,4242768.94,
2020-03-30,0.2454,0.33,0.243,0.2606,5361963.52,
2020-04-06,0.261,0.3014,0.2565,0.282,8807331.04,
2020-04-13,0.28,0.2837,0.2531,0.2713,4109622.66,
2020-04-20,0.2712,0.3516,0.249,0.3333,11196595.19,
2020-04-27,0.3337,0.385,0.3068,0.3395,12957264.07,
2020-05-04,0.3395,0.35,0.2684,0.287,7624653.26,
2020-05-11,0.287,0.3438,0.2461,0.3359,6876453.04,
2020-05-18,0.3346,0.3681,0.3067,0.3242,10093264.63,
2020-05-25,0.3242,0.45,0.321,0.4005,13660612.33,
2020-06-01,0.399,0.577,0.3961,0.4838,20271114.25,
2020-06-08,0.4816,0.52,0.4284,0.4785,11677302.39,
2020-06-15,0.481,0.53,0.4255,0.4892,10423318.32,
2020-06-22,0.4911,0.535,0.4158,0.4397,13913386.66,
2020-06-29,0.4367,0.44,0.3516,0.3635,9327431.43,
2020-07-06,0.3634,0.4185,0.3631,0.3996,6521218.61,
2020-07-13,0.3995,0.4038,0.345,0.3712,7674038.94,
2020-07-20,0.3711,0.4852,0.3681,0.4183,22089960.87,
2020-07-27,0.4183,0.4409,0.36,0.3987,13106314.78,
2020-08-03,0.3988,0.6561,0.3889,0.595,23698319.48,
2020-08-10,0.5957,0.6246,0.4771,0.5489,20883241.33,
2020-08-17,0.5461,0.65,0.4744,0.5468,20512190.84,
2020-08-24,0.5469,0.5601,0.4337,0.4836,13643386.51,
2020-08-31,0.4852,0.506,0.2873,0.3284,14509171.32,
2020-09-07,0.3271,0.3722,0.2889,0.3355,8164832.63,
2020-09-14,0.3332,0.3491,0.303,0.3163,5453641.74,
2020-09-21,0.3181,0.3313,0.272,0.2926,5099161.95,
2020-09-28,0.2932,0.3119,0.2578,0.2694,3674591.4,
2020-10-05,0.2697,0.2795,0.2419,0.2749,3739189.84,
2020-10-12,0.2744,0.2999,0.2306,0.254,4879103.21,
2020-10-19,0.2541,0.27,0.2276,0.2462,4268041.95,
2020-10-26,0.2452,0.259,0.2271,0.2365,3033710.19,
2020-11-02,0.2353,0.2519,0.2025,0.2425,7776153.09,
2020-11-09,0.2426,0.2994,0.2275,0.2499,11395559.19,
2020-11-16,0.2498,0.2824,0.2395,0.26,9709981.07,
2020-11-23,0.2619,0.3457,0.2467,0.2749,14904037.21,
2020-11-30,0.2733,0.2898,0.2562,0.2626,6578733.41,
2020-12-07,0.2644,0.2886,0.2245,0.2651,8583764.89,
2020-12-14,0.2652,0.5155,0.2618,0.3928,43812700.9,
2020-12-21,0.3926,0.3991,0.2658,0.2772,12362246.25,
2020-12-28,0.2792,0.3094,0.2491,0.2853,11288105.21,
2021-01-04,0.2853,0.4183,0.262,0.3771,23108534.23,
2021-01-11,0.3769,0.3794,0.2911,0.3393,17190014.97,
2021-01-18,0.3399,0.428,0.3261,0.3675,24135077.83,
2021-01-25,0.3671,0.4338,0.3101,0.4042,22946627.97,
2021-02-01,0.4035,0.4781,0.3764,0.4166,30740590.5,
2021-02-08,0.4166,0.781,0.4121,0.6343,38889669.33,
2021-02-15,0.6363,0.89,0.576,0.8561,35469206.22,
2021-02-22,0.8608,0.915,0.463,0.5047,31035846.33,
2021-03-01,0.5022,0.645,0.5021,0.6161,21202737.96,
2021-03-08,0.6175,1.0677,0.5966,0.9,49692180.46,
2021-03-15,0.9,1.43,0.7859,1.3925,60554879.12,
2021-03-22,1.3996,1.48,0.8725,1.2202,46168754.17,
2021-03-29,1.2153,1.467,1.0559,1.2073,38731366.88,
2021-04-05,1.2072,2.1,1.005,1.6156,117401529.16,
2021-04-12,1.6189,1.98,1.3167,1.55,84353262.79,
2021-04-19,1.55,1.8301,0.985,1.0801,57501328.0,
2021-04-26,1.0805,1.5691,1.0749,1.473,54818953.5,
2021-05-03,1.4712,1.7269,1.3681,1.5119,44292892.64,
2021-05-10,1.5126,1.63,1.156,1.4691,57503671.95,
2021-05-17,1.4708,1.4983,0.4567,0.5594,48866452.75,
2021-05-24,0.5617,0.98,0.5387,0.7337,80858155.59,
2021-05-31,0.7305,0.8786,0.68,0.749,36408631.39,
2021-06-07,0.7497,0.7649,0.5471,0.6727,41424341.33,
2021-06-14,0.6727,0.72,0.5358,0.5715,20184710.79,
2021-06-21,0.5718,0.5798,0.3502,0.4141,25644622.33,
2021-06-28,0.4161,0.482,0.3893,0.4372,31281230.36,
2021-07-05,0.4372,0.6555,0.4001,0.5094,79465042.53,
2021-07-12,0.5094,0.5307,0.4111,0.417,35088596.99,
2021-07-19,0.4153,0.52,0.344,0.4606,38260948.94,
2021-07-26,0.4603,0.5856,0.4451,0.5312,34292277.6,
2021-08-02,0.5313,0.705,0.5079,0.6647,75148485.99,
2021-08-09,0.6653,0.78,0.6203,0.7513,48348417.33,
2021-08-16,0.752,0.8265,0.6408,0.7831,37129134.73,
2021-08-23,0.7829,0.8039,0.6503,0.6967,29468124.4,
2021-08-30,0.6969,0.7716,0.6426,0.7532,37033709.15,
2021-09-06,0.751,0.9,0.5863,0.7288,58282553.17,
2021-09-13,0.7288,0.772,0.643,0.6696,26048576.0,
2021-09-20,0.6704,0.6704,0.4975,0.5548,38977382.65,
2021-09-27,0.5529,0.6272,0.5039,0.5871,29801771.0,
2021-10-04,0.5849,1.0179,0.5491,0.6694,107343671.26,
2021-10-11,0.669,0.9239,0.668,0.8659,81371615.0,
2021-10-18,0.8658,0.99,0.7434,0.7513,48029142.0,
2021-10-25,0.7513,0.844,0.6767,0.7077,34244998.0,
2021-11-01,0.7089,0.8,0.6872,0.7274,25480484.0,
2021-11-08,0.7249,0.7669,0.6607,0.7052,26037582.0,
2021-11-15,0.7054,0.884,0.56,0.6887,53655117.0,
2021-11-22,0.6865,0.7139,0.5763,0.6212,24792519.0,
2021-11-29,0.6212,1.32,0.6011,0.8445,344502097.99,
2021-12-06,0.846,0.8486,0.6417,0.6666,73621830.0,
2021-12-13,0.6655,0.78,0.5288,0.6144,75243089.0,
2021-12-20,0.6144,0.68,0.5672,0.6394,40539973.0,
2021-12-27,0.6378,0.7541,0.5666,0.6011,33638389.0,
2022-01-03,0.6009,0.6398,0.4616,0.4817,25023850.14,
2022-01-10,0.4813,0.4979,0.4191,0.4677,13790074.58,
2022-01-17,0.4677,0.495,0.2702,0.323,29034373.26,
2022-01-24,0.3225,0.48,0.2689,0.383,105391801.68,
2022-01-31,0.3847,0.427,0.3277,0.3776,50125347.0,
2022-02-07,0.3775,0.4678,0.3466,0.3466,37353045.0,
2022-02-14,0.3464,0.441,0.319,0.3306,38328284.0,
2022-02-21,0.3305,0.3724,0.2581,0.3005,43724066.03,
2022-02-28,0.3001,0.4306,0.2966,0.3046,62286487.0,
2022-03-07,0.3043,0.444,0.2943,0.3447,134774710.0,
2022-03-14,0.3447,0.41,0.3294,0.3707,50993248.0,
2022-03-21,0.3714,0.4064,0.3602,0.4002,32955024.0,
2022-03-28,0.4003,0.466,0.3701,0.4484,50645598.0,
2022-04-04,0.449,0.495,0.3706,0.3714,38059414.0,
2022-04-11,0.3706,0.385,0.3304,0.3396,28219868.0,
2022-04-18,0.3393,0.3839,0.319,0.3204,31870635.0,
2022-04-25,0.3204,0.3219,0.24,0.2571,22420050.12,
2022-05-02,0.2572,0.2838,0.216,0.219,22976732.88,
2022-05-09,0.2184,0.2217,0.0934,0.1443,46739016.24,
2022-05-16,0.1438,0.1465,0.1245,0.1392,7352463.0,
