index,Open,High,Low,Close,Volume,Adj Close
2020-12-07,10.41250228881836,10.66909408569336,9.395918846130373,10.306777000427246,0.0,10.306777000427246
2020-12-14,10.315750122070312,14.436058044433594,10.249144554138184,12.963770866394045,6941242.0,12.963770866394045
2020-12-21,12.88,43.5,10.0,15.154,9913030.745,
2020-12-28,15.22,18.64,11.264,11.413,879464.729,
2021-01-04,11.483,12.797,8.635,9.85,391365.2,
2021-01-11,9.85,12.0,8.1,9.813,781069.54,
2021-01-18,9.813,10.249,8.12,9.093,690702.635,
2021-01-25,9.094,11.445,7.782,7.977,516420.12,
2021-02-01,8.051,11.289,7.688,8.3,848656.174,
2021-02-08,8.263,14.8,8.262,11.27,2050887.861,
2021-02-15,11.336,13.5,9.72,11.903,1150962.838,
2021-02-22,11.903,11.999,8.229,9.092,952655.215,
2021-03-01,9.096,10.685,8.59,10.146,730668.453,
2021-03-08,10.145,30.0,9.9,22.983,10969473.468,
2021-03-15,22.981,24.538,19.27,20.062,2314935.116,
2021-03-22,20.059,21.149,16.929,18.786,1854465.908,
2021-03-29,18.743,21.268,17.03,17.983,1253632.741,
2021-04-05,17.919,39.452,17.172,29.714,10405526.817,
2021-04-12,29.825,47.27,28.055,30.61,11372338.094,
2021-04-19,30.609,51.932,30.165,48.318,9655339.335,
2021-04-26,48.315,59.0,40.55,43.896,7771962.795,
2021-05-03,43.896,44.2,29.204,29.399,3969339.919,
2021-05-10,29.399,41.0,25.958,32.356,9065706.855,
2021-05-17,32.357,44.95,12.301,16.001,9279367.226,
2021-05-24,16.014,23.0,14.44,16.016,6331644.276,
2021-05-31,15.981,17.95,14.89,15.492,2128297.883,
2021-06-07,15.473,18.482,12.556,15.03,2968885.243,
2021-06-14,15.042,16.0,13.55,14.374,1494602.215,
2021-06-21,14.374,14.443,10.784,12.061,1224696.598,
2021-06-28,12.083,15.31,11.829,13.583,1831094.561,
2021-07-05,13.579,16.727,13.229,15.272,1762871.899,
2021-07-12,15.26,19.572,15.002,17.76,1798808.131,
2021-07-19,17.741,24.486,17.002,23.866,2604393.788,
2021-07-26,23.847,28.0,22.763,23.057,2333169.054,
2021-08-02,23.093,44.97,21.926,41.288,11126064.249,
2021-08-09,41.288,61.536,36.261,36.713,21961051.623,
2021-08-16,36.715,39.0,31.402,33.206,5065896.065,
2021-08-23,33.209,39.47,32.9,34.09,5284375.206,
2021-08-30,34.1,34.57,31.5,33.17,2150275.163,
2021-09-06,33.17,34.0,25.5,31.26,2870822.928,
2021-09-13,31.2,33.89,28.13,28.58,2586415.82,
2021-09-20,28.56,28.98,23.63,27.03,1788553.066,
2021-09-27,27.02,27.76,23.73,24.91,1448233.72,
2021-10-04,24.91,26.6,23.67,24.32,1543442.77,
2021-10-11,24.32,25.35,23.2,23.57,1016019.93,
2021-10-18,23.57,24.5,22.26,22.35,996598.0,
2021-10-25,22.36,23.88,20.06,20.39,1058210.021,
2021-11-01,20.39,28.6,19.25,22.22,2747646.6,
2021-11-08,22.23,24.45,20.28,21.04,1641880.48,
2021-11-15,21.04,22.65,18.46,19.85,1026540.136,
2021-11-22,19.85,21.99,16.83,17.64,1346533.28,
2021-11-29,17.7,19.8,13.49,15.63,1812157.042,
2021-12-06,15.56,18.57,14.84,15.83,1292530.22,
2021-12-13,15.83,15.87,13.2,13.45,529831.46,
2021-12-20,13.44,17.54,12.63,16.92,1022936.57,
2021-12-27,16.94,18.0,14.92,15.31,451100.43,
2022-01-03,15.3,16.0,13.7,14.27,527290.81,
2022-01-10,14.26,15.53,13.4,15.18,437191.96,
2022-01-17,15.18,15.4,12.05,12.97,491642.78,
2022-01-24,12.98,15.6,11.7,14.02,812850.78,
2022-01-31,14.04,17.02,13.5,16.28,699568.14,
2022-02-07,16.3,19.93,15.3,17.86,2195979.92,
2022-02-14,17.86,19.2,14.31,14.71,1606321.05,
2022-02-21,14.73,16.19,12.67,14.64,1082456.22,
2022-02-28,14.66,18.89,14.47,17.3,2361699.92,
2022-03-07,17.3,18.24,13.26,13.44,4505301.67,
2022-03-14,13.44,14.2,12.5,12.86,1555370.2,
2022-03-21,12.85,14.28,12.57,13.48,1199998.56,
2022-03-28,13.46,15.8,13.35,14.88,1685737.1,
2022-04-04,14.87,15.27,13.61,14.41,942280.05,
2022-04-11,14.41,15.88,13.48,14.56,988829.41,
2022-04-18,14.56,15.3,11.87,11.9,1139330.15,
2022-04-25,11.9,12.22,9.09,9.45,1060874.967,
2022-05-02,9.45,9.79,8.11,8.17,711269.296,
2022-05-09,8.17,8.26,4.04,5.39,1396630.184,
2022-05-16,5.4,12.2,4.85,8.28,8885929.99,
2022-05-23,8.28,9.49,6.7,7.61,2456083.64,
2022-05-30,7.63,7.85,6.9,7.43,1241929.17,
2022-06-06,7.43,8.9,6.6,6.62,1909118.78,
2022-06-13,6.6,7.4,5.73,6.29,1451201.22,
2022-06-20,6.29,7.1,6.04,6.55,1181948.04,
2022-06-27,6.55,6.8,6.4,6.58,159408.04,
